comp_id,العام,الفترة,المبيعات,تكاليف المبيعات,اجمالي الدخل,دخل العمليات,صافي الدخل,ربح السهم الصافي,عدد الأسهم,رأس المال
43,2011,الثالث,,,,3191.95,1935.8,0.48,4000,40000
43,2011,الرابع,,,,3322.86,1899.12,0.47,4000,40000
43,2011,سنة,,,,12502.12,7378.27,1.84,,
43,2012,الأول,,,,3427.44,2011.33,0.5,4000,40000
43,2012,الثاني,,,,3427.15,2092.98,0.52,4000,40000
43,2012,الثالث,,,,3638.64,1869.3,0.47,4000,40000
43,2012,الرابع,,,,3489.79,1911.1,0.48,4000,40000
43,2012,سنة,,,,13983.02,7884.71,1.97,,
43,2013,الأول,,,,3441.26,2051.69,0.51,4000,40000
43,2013,الثاني,,,,3434.88,2122.72,0.53,4000,40000
43,2013,الثالث,,,,3427.61,1717.02,0.43,4000,40000
43,2013,الرابع,,,,3541.28,1546.56,0.39,4000,40000
43,2013,سنة,,,,13845.03,7437.99,1.86,,
43,2014,الأول,,,,3497.93,1705.8,0.43,4000,40000
43,2014,الثاني,,,,3643.6,1948.95,0.49,4000,40000
43,2014,الثالث,,,,3439.41,1661.61,0.42,4000,40000
43,2014,الرابع,,,,3086.04,1519.81,0.38,4000,40000
43,2014,سنة,,,,13666.98,6836.17,1.72,,
43,2015,الأول,,,,3422.25,1518.55,0.38,4000,40000
43,2015,الثاني,,,,3534.65,1941.37,0.49,4000,40000
43,2015,الثالث,,,,3195.06,1721.4,0.43,4000,40000
43,2015,الرابع,,,,3593.81,1948.77,0.49,4000,40000
43,2015,سنة,,,,13745.77,7130.09,1.79,,
43,2016,الأول,,,,3695.05,2017.27,0.5,4000,40000
43,2016,الثاني,,,,3923.66,2051.93,0.51,4000,40000
43,2016,الثالث,,,,3877.85,2009.49,0.5,4000,40000
43,2016,الرابع,,,,3812.32,2047.27,0.51,4000,40000
43,2016,سنة,,,,15308.88,8125.96,2.02,,
43,2017,الأول,,,,3853.09,2220.9,0.56,4000,40000
43,2017,الثاني,,,,3876.96,2181.65,0.55,4000,40000
43,2017,الثالث,,,,3976.36,2265.21,0.57,4000,40000
43,2017,الرابع,,,,4198.45,2452.97,0.61,4000,40000
43,2017,سنة,,,,15904.86,9120.73,2.29,,
43,2018,الأول,,,,4142.41,2306.28,0.58,4000,40000
43,2018,الثاني,,,,4288.07,2474.22,0.62,4000,40000
43,2018,الثالث,,,,4383.35,2515.98,0.63,4000,40000
43,2018,الرابع,,,,4505.69,-3528.54,-0.88,4000,40000
43,2018,سنة,,,,17319.52,3767.94,0.95,,
43,2019,الأول,,,,4638.94,2567.99,0.64,4000,40000
43,2019,الثاني,,,,4861.11,2533.91,0.63,4000,40000
43,2019,الثالث,,,,4981.23,2738.82,0.68,4000,40000
43,2019,الرابع,,,,5003.18,2317.81,0.58,4000,40000
43,2019,سنة,,,,19484.46,10158.53,2.53,,
43,2020,الأول,,,,4967.56,2380.15,0.6,4000,40000
43,2020,الثاني,,,,4807.76,2436.1,0.61,4000,40000
43,2020,الثالث,,,,5152.13,2657.85,0.66,4000,40000
43,2020,الرابع,,,,5793.81,3121.45,0.78,4000,40000
43,2020,سنة,,,,20721.26,10595.55,2.65,,
43,2021,الأول,,,,5947.58,3335.49,0.83,4000,40000
43,2021,الثاني,,,,6336.32,3604.69,0.9,4000,40000
43,2021,الثالث,,,,6577.68,3793.75,0.95,4000,40000
43,2021,الرابع,,,,6854.82,4012.29,1,4000,40000
43,2021,سنة,,,,25716.4,14746.22,3.68,,
43,2022,الأول,,,,6956.56,4133.55,1.03,4000,40000
